編號,韓文,羅馬拼音,中文,英文
2491,물음,mureum,提問、問題,A question
2492,빌다,bilda,祈求、祈願、乞求,"pray,wish,ask"
2493,수영,suyeong,游泳,Swimming
2494,스님,seunim,和尚、僧人,A priest
2495,썩다,sseokda,腐爛、腐敗,"Go bad, rot"
2496,어머님,eomeonim,母親、令堂（敬稱）,Mother (respectful word)
2497,엉뚱하다,eongttunghada,荒唐、離奇、異想天開,"Be extraordinary, extravagant ; to misdirect somebody's attention"
2498,여보,yeobo,老公/老婆（夫妻親暱稱呼）,Spouse (term of affection)
2499,잊어버리다,ijeobeorida,忘掉、忘記,To forget
2500,정면,jeongmyeon,正面,"The front, the facade"
2501,조각,jogak,雕刻、雕塑,Sculpture
2502,태우다,taeuda,燃燒、燒掉 / 載（人）,"Burn, commit to flames"
2503,해석,haeseok,解釋、解說、註釋,"Interpretation, a comment"
2504,가리다,garida,挑選、分辨、認生,Choose or select
2505,개국,gaeguk,開國、建國,The foundation of a country
2506,계산하다,gyesanhada,計算、結帳,To calculate
2507,근원,geunwon,根源、本源,The origin or root or source
2508,기차,gicha,火車、列車,A train
2509,담그다,damgeuda,浸泡、醃製,Soak in water
2510,마음대로,maeumdaero,隨心所欲、隨意,As you wish
2511,며느리,myeoneuri,媳婦、兒媳,Daughter-in-law
2512,믿음,mideum,信任、信念、信仰,Belief
2513,발견,balgyeon,發現,Discovery
2514,보고,bogo,報告、匯報,"report,information"
2515,부탁하다,butakhada,拜託、請求,Ask sb a favor
2516,사용자,sayongja,使用者、用戶,"A user,consumer,employer"
2517,사회주의,sahoejuui,社會主義,Socialism
2518,설치되다,seolchidoeda,被安裝、被設立（被動）,To be established
2519,수도권,sudogwon,首都圈、都會區,The Metropolitan area
2520,식탁,siktak,餐桌、飯桌,Dinner table
2521,실패하다,silpaehada,失敗,To fail
2522,영원하다,yeongwonhada,永遠、永恆,To be eternal
2523,우연히,uyeonhi,偶然地、意外地,"accidentally,by chance"
2524,자극,jageuk,刺激,A stimulus
2525,정해지다,jeonghaejida,被確定、定下來（被動）,"To be determined, settled"
2526,짚다,jipda,觸摸、摸索 / 拄（拐杖）,"Feel, examine"
2527,총리,chongri,總理,"General overseeing, presiding over"
2528,칭찬,chingchan,表揚、稱讚,"Praide, admiration"
2529,튼튼하다,teunteunhada,堅固、結實、健康,"Solid, compact, firm"
2530,햇빛,haetbit,陽光、日光,"Sunshine, sunlight"
2531,공원,gongwon,公園,Park
2532,긍정적,geungjeongjeok,肯定的、積極正面的,Affirmation or admission
2533,논의하다,nonuihada,討論、研討,Discussion
2534,대출,daechul,貸款、借出,Lending
2535,덕,deok,德、恩德、恩惠,"Virtue, morality"
2536,먼지,meonji,灰塵、塵土,Dust
2537,바닷가,badatga,海邊、海岸,The beach
2538,바치다,bachida,獻出、奉獻,"Give, offer"
2539,반하다,banhada,相反、違背 / 著迷,To be contrary to
2540,발표되다,balpyodoeda,被發表、被公佈（被動）,Be announced
2541,부정하다,bujeonghada,不定、無常、不規則,"Be uncertain,irregular"
2542,불러일으키다,bulreoireukida,引起、喚起、激發,"rouse,stir up"
2543,사원,sawon,職員、社員 / 寺院,Company employee
2544,소유자,soyuja,擁有者、所有人,Possessor
2545,씹다,ssipda,咀嚼、嚼,To chew
2546,아무튼,amuteun,總之、無論如何,In any case
2547,안되다,andoeda,不行、不能,"Must not, should not"
2548,액수,aeksu,金額、數額,"A sum, an amount"
2549,왠지,waenji,不知為何、總覺得,"I don’t know why, there is no reason for it"
2550,욕심,yoksim,貪心、慾望,"Greed, selfishness"
2551,우승,useung,冠軍、優勝,First place
2552,익다,ikda,熟、成熟 / 熟悉,"Ripe, be ripe"
2553,제출하다,jechulhada,提交、提出,"To submit,tender"
2554,조심스럽다,josimseureopda,謹慎、小心翼翼,Cautious
2555,직전,jikjeon,緊接著之前、正前方,Just immediately before
2556,짐작하다,jimjakhada,推測、猜想,"To guess, infer"
2557,택하다,taekhada,選擇、挑選,"Choose, select"
2558,터,teo,場地、地基、處所,"A site, place"
2559,피시,pisi,個人電腦、PC,"PC, personal computer"
2560,흘러나오다,heulreonaoda,流出、傳出,"Flow out, run, effuse"
2561,가구,gagu,戶、家庭 / 家具,Family
2562,간단히,gandanhi,簡單地、簡約地,Simply speaking
2563,강물,gangmul,江水、河水,River water
2564,궁극적,gunggeukjeok,終極的、最終的,"Finally or in the end, 마지막으로"
2565,극히,geukhi,極其、極端地,Exceedingly or extremely
2566,기여하다,giyeohada,貢獻、致力,Contribute or add much to
2567,꼭,kkok,緊緊地 / 一定,Tightly or fast
2568,날짜,naljja,日期,Date
2569,대륙,daeryuk,大陸,A continent
2570,모니터,moniteo,螢幕、監視器,Monitor
2571,범인,beomin,犯人、罪犯,A criminal
2572,변동,byeondong,變動、波動,"Change, flucutation"
2573,불가피하다,bulgapihada,不可避免、無可奈何,"Inevitable, unavoidable"
2574,삶다,samda,煮、燉、蒸（蛋/肉）,"boil,cook (eggs)"
2575,샌드위치,saendeuwichi,三明治,Sandwich
2576,서류,seoryu,文件、公文,"documents,papers"
2577,손해,sonhae,損害、損失,"damage,injury"
2578,숨지다,sumjida,斷氣、逝世,Breathe one’s last breath
2579,아유,ayu,哎呀（感嘆詞）,Good heavens!
2580,요청,yocheong,請求、要求,"request,demand,claim"
2581,운,un,運氣、命運,"Fortune, luck, fate"
2582,일상생활,ilsangsaenghwal,日常生活,Everyday (daily) life
2583,자존심,jajonsim,自尊心,Self-confidence
2584,주저앉다,jujeoanda,癱坐、跌坐,"Sit down, plump down"
2585,증권사,jeunggwonsa,證券公司,Securities corporation
2586,진하다,jinhada,濃厚、深濃,"Be dark, deep"
2587,초원,chowon,草原,"A plain, a prarie"
2588,최종,choejong,最終、最後,"last,final,terminal"
2589,회복하다,hoebokhada,恢復、康復,"To recover, get better, get well again"
2590,흘러가다,heulreogada,流淌、流逝,"flow,run,drift along"
2591,흥미,heungmi,興趣、興致,"interest,zeal"
2592,검사,geomsa,檢察官,A public prosecutor
2593,그쪽,geujjok,那邊、他們,Those people
2594,꾸다,kkuda,借入（錢/物）,Borrow or loan
2595,내려다보다,naeryeodaboda,俯視、俯瞰,Overlook
2596,눈썹,nunsseop,眉毛,The eyebrow
2597,대신하다,daesinhada,代替、取代,"Relieve, replace another"
2598,마디,madi,節、段、節拍、言語片段,"A word, a tune, a song, a paragraph"
2599,미처,micheo,尚未、來不及,To that extent
2600,비닐,binil,塑膠、乙烯基,"a thin sheet of plastic, vinyl"
2601,비율,biyul,比率、比例,"ratio,percentage"
2602,생물,saengmul,生物,A living thing
2603,소음,soeum,噪音、雜音,"A noise,cacaphony"
2604,양국,yangguk,兩國、雙方國家,Both countries
2605,얼핏,eolpit,隱約、乍看、一閃,at a momentary glance or intermittently appearing (e.g. catch a fleeting glimpse of)
2606,오래되다,oraedoeda,久遠、年代久遠,To last for a long time
2607,웬,wen,什麼樣的、哪來的,"What sort of, what kind of"
2608,조각,jogak,碎片、零碎、薄片,"A piece,scrap,fragment"
2609,중부,jungbu,中部,"The center, middle part"
2610,차,cha,茶、茶水,Tea
2611,채소,chaeso,蔬菜,"vegetables,greens"
2612,침,chim,口水、唾液 / 針,Spit
2613,털,teol,毛、毛髮、羽毛,"Hair; fur, feathers"
2614,판매하다,panmaehada,銷售、販賣,To sell
2615,항의,hangui,抗議,A protest
2616,해당,haedang,該當、符合、相應,Come/fall under the purview of
2617,확보,hwakbo,確保、掌握,"security,insurance"
2618,환경오염,hwangyeongoyeom,環境污染,Environmental pollution
2619,가치관,gachigwan,價值觀,"one’s values or sense of values, a value system"
2620,검은색,geomeunsaek,黑色,Black or dark
2621,고생하다,gosaenghada,吃苦、受苦、辛勞,"To suffer or to have trials ; to do something you don't want to do, 하고 싶자 않은 것"
2622,기원전,giwonjeon,公元前、西元前,B.C.
2623,기타,gita,其他、其餘 / 吉他,The others or the rest
2624,긴급,gingeup,緊急,Emergency
2625,꺾다,kkeokda,折斷、轉折、挫敗,Break off or snap off
2626,꿈꾸다,kkumkkuda,做夢、夢想,To dream
2627,무려,muryeo,高達、竟然有、多達,"As many as, no less than"
2628,묻히다,muthida,被埋、被掩蓋 / 沾上（被動）,Get buried
2629,수표,supyo,支票,A check
2630,실태,siltae,實態、實際情況,"The actual conditions,reality"
2631,아쉽다,aswipda,惋惜、可惜、捨不得,"To miss, feel the loss of"
2632,애정,aejeong,愛情、熱愛、喜愛,"Love for a person, affection"
2633,얘,yae,這孩子、餵（稱呼晚輩）,"Sonny, you there"
2634,어머,eomeo,哎呀、天哪,Oh my god!
2635,여보세요,yeoboseyo,餵（電話問候）,Telephone HELLO
2636,일정,iljeong,日程、固定,"To be fixed, settled, regular"
2637,장르,jangreu,類型、體裁,Genre
2638,저렇다,jeoreota,那樣、像那樣,Such a thing as that
2639,접하다,jeophada,挨著、鄰接 / 接觸,"adjoin,be adjacent to"
2640,정성,jeongseong,精誠、誠心、心意,"True heart,devotion"
2641,제약,jeyak,制約、限制,"A condition,restriction"
2642,쫓다,jjotda,驅趕、追逐、驅逐,"Drive away, chase off"
2643,추가,chuga,追加、添加,An addition
2644,테이프,teipeu,膠帶、錄音帶,Tape
2645,품,pum,衣服胸圍 / 懷抱、胸口,"Width; bosom, breast (the clothes have a big ~)"
2646,해석,haeseok,分析、解析,"Analysis, analytical research"
2647,확인되다,hwagindoeda,被確認、核實（被動）,To be confirmed
2648,가하다,gahada,加以、施加,To add
2649,간장,ganjang,醬油 / 肝腸,Soy sauce
2650,강의,gangui,講課、講座、課程,A lecture or discourse
2651,거,geo,那件事、那個（것的口語）,That thing
2652,고민하다,gominhada,苦惱、焦慮,Be in anguish or worried
2653,과,gwa,科、系、部門,1) A course or branch of study 2) a department or a faculty
2654,교환,gyohwan,交換、交流,An exchange
2655,국어,gugeo,國語、韓語,1) The national language or 2) Korean
2656,노랗다,norata,黃色、發黃,Be yellow
2657,다치다,dachida,受傷、碰傷,To hurt
2658,상,sang,上、上等 / 獎,Upper
2659,새,sae,之間、間隔、空隙,An interval
2660,악기,akgi,樂器,Musical instrument
2661,연말,yeonmal,年底、歲末,"The end, close of the year"
2662,올려놓다,olryeonota,放在上面、擱置,Put a thing on a place
2663,외면하다,oemyeonhada,轉移視線、迴避 / 外貌,Outward appearance
2664,원고,wongo,原稿、稿件 / 原告,A manuscript
2665,줄곧,julgot,一直、始終,"All the time, all through, repeatedly, constantly"
2666,지출,jichul,支出、開銷,"Expenses, expenditure"
2667,차,cha,差距、差額、差別,"difference,margin"
2668,치우다,chiuda,收拾、移開、整理,"Straighten up, tidy, remove"
2669,피로,piro,疲勞、疲倦,"Fatigue, exhaustion"
2670,향,hyang,香、香氣、芬芳,"perfume,incense"
2671,개선하다,gaeseonhada,改善、改進,To renovate or to improve
2672,계좌,gyejwa,帳戶、帳號,Account
2673,당기다,danggida,拉、拽 / 引起食慾,Pull
2674,들다,deulda,拿、持 / 進入 / 費用,"Means continuing the main verb’s action ; to enter/go into ; to hold, to carry"
2675,말기,malgi,末期、晚期,"The end, final period"
2676,말없이,mareopsi,默默地、無言地,At a loss for words
2677,망하다,manghada,敗亡、滅亡、完蛋,Go to ruin
2678,문서,munseo,文件、公文、文書,A document
2679,박수,baksu,鼓掌、拍手,Applause
2680,부자,buja,富翁、富人 / 父子,A rich person
2681,사흘,saheul,三天,Three days
2682,서쪽,seojjok,西方、西面,The west
2683,성립되다,seongripdoeda,成立、達成（被動）,"To be concluded, formed"
2684,손자,sonja,孫子,Grandson
2685,신랑,sinrang,新郎,A bridegroom
2686,실습,silseup,實習、實踐練習,"Actual training,practice"
2687,일찍이,iljjigi,早早地、早先、很早就,Early
2688,자율,jayul,自律、自主,"self-control,autonomy"
2689,제법,jebeop,相當、頗為、蠻,"quite,fairly,considerably"
2690,집중되다,jipjungdoeda,集中、匯聚（被動）,To concentrate
2691,창조적,changjojeok,創造性的、創新的,Creatively
2692,천장,cheonjang,天花板、頂棚,The ceiling
2693,파다,pada,挖、掘,To dig
2694,하긴,hagin,事實上、說的也是、確實,"Indeed, though, nevertheless"
2695,해결되다,haegyeoldoeda,獲得解決、迎刃而解（被動）,"To be settled, resolved"
2696,향상,hyangsang,提高、提升、向上,"Improve; elevation,rise"
2697,화가,hwaga,畫家,"A painter, a drawer artist"
2698,가라앉다,garaanda,下沉、沉靜、平息,"To sink (calm,settle,subside)"
2699,감싸다,gamssada,包裹 / 袒護、包庇,1) wrap up or tuck in 2) to protect or defend
2700,고작,gojak,頂多、充其量、僅僅,To be at the highest or the best
2701,구경하다,gugyeonghada,參觀、觀看、看熱鬧,To watch or enjoy watching
2702,국물,gungmul,湯汁、菜湯,soup or broth or gravy
2703,기구,gigu,器具、器械,A utensil or tool
2704,깔다,kkalda,鋪（床/路）、鋪設,"to pave (a road), lay down a floor, spread a blanket etc."
2705,다짐하다,dajimhada,下決心、保證、下定志向,"Pledge, vow, swear"
2706,대합실,daehapsil,等候室、候車室,A waiting room
2707,말씀드리다,malsseumdeurida,向...稟告、說（敬語）,Speak (honor.)
2708,매장,maejang,賣場、專賣店 / 埋葬,"A store, shop"
2709,멀어지다,meoreojida,疏遠、變遠,Become distant to
2710,명칭,myeongching,名稱、稱謂,"A name,title"
2711,불쌍하다,bulssanghada,可憐,To be deplorable
2712,상업,sangeop,商業,"commerce,trade"
2713,생산되다,saengsandoeda,被生產、製造（被動）,To be produced
2714,숨기다,sumgida,隱藏、藏匿,To hide
2715,실력,silryeok,實力、才能,"one’s real ability,talent"
2716,야채,yachae,蔬菜,Vegetables
2717,엉덩이,eongdeongi,屁股、臀部,The buttocks
2718,울음,ureum,哭聲、哭泣,"crying,weeping"
2719,이달,idal,本月、這個月,This month
2720,인체,inche,人體,The human body
2721,저고리,jeogori,上衣、短襖（韓服）,"A coat, korean jacket"
2722,전부,jeonbu,全部、全體,"All, everything"
2723,즐거움,jeulgeoum,快樂、樂趣,"pleasure,merriment"
2724,지다,jida,輸、失敗（在比賽/戰爭中）,"To lose (at war, a game)"
2725,진단,jindan,診斷,Diagnosis
2726,질병,jilbyeong,疾病,"A disease, sickness"
2727,짜다,jjada,編織、組織、構思 / 鹹,"Form, organize"
2728,체력,cheryeok,體力,Physical strength
2729,친하다,chinhada,親近、要好,"To be intimate, familiar, close, friendly"
2730,헤아리다,hearida,體諒、揣摩、清點,"Consider, weigh, ponder, consider"
2731,각기,gakgi,各自、各個,Each or severally or respectively
2732,경찰서,gyeongchalseo,警察局、派出所,A police station
2733,곧바로,gotbaro,徑直、立刻,At once or straight away
2734,관찰,gwanchal,觀察,Observation or survey
2735,구두,gudu,皮鞋,Shoes or boots
2736,군사,gunsa,軍士、士兵,A soldier or a private
2737,귀신,gwisin,鬼、鬼神,A ghost
2738,귀하다,gwihada,珍貴、寶貴、尊貴,1) noble or high 2) dear 3) lovable or precious
2739,그토록,geutorok,那麼、那樣、如此地,So much or to such an extent
2740,기초하다,gichohada,基於、奠基於,Make the basis for
2741,깊이,gipi,深度、深處,Depth
2742,나뭇가지,namutgaji,樹枝,A tree branch
2743,낫다,natda,痊癒、好轉,to get better (from an illness)
2744,답하다,daphada,回答、答覆,"Answer, reply"
2745,대가,daega,代價、報酬 / 大家,"A price, cost, charge, consideration, purchase money, value"
2746,더위,deowi,炎熱、暑氣,The heat
2747,말리다,malrida,曬乾、弄乾 / 勸阻,Dry sth
2748,무덤,mudeom,墳墓、墳塚,"A grave,tomb"
2749,물결,mulgyeol,水波、波浪,A wave
2750,밥상,bapsang,飯桌、餐桌,Dinner table
2751,보장하다,bojanghada,保障、保證,"To secure,guarantee"
2752,사과,sagwa,蘋果 / 道歉,An apple
2753,사귀다,sagwida,結交、交往,Make friends with
2754,서너,seoneo,三四個、三四（冠形詞）,"About three, three or four"
2755,솟다,sotda,湧出、高聳、冒出,"rise,soar,tower above"
2756,실패,silpae,失敗,Failure
2757,예상하다,yesanghada,預想、預估,"To expect, anticipate"
2758,예외,yeoe,例外,An exception
2759,완전,wanjeon,完全、完美,"Perfection, completeness"
2760,웃기다,utgida,好笑、逗笑,To be funny
2761,유리,yuri,玻璃,A glass pane
2762,절대적,jeoldaejeok,絕對的,"absolute,unconditional"
2763,제작하다,jejakhada,製作、製造,"To produce,manufacture"
2764,쥐,jwi,老鼠,Mouse
2765,최대한,choedaehan,最大限度、最大限,"At the most, at the maximum"
2766,턱,teok,下巴 / 緣故,The chin
2767,팔리다,palrida,賣出、暢銷（被動）,"To be in demand, to be sold"
2768,품다,pumda,懷抱、抱有、孵,"To hold, embrace"
2769,하하,haha,哈哈（笑聲）,Ha ha ha ha ha
2770,형부,hyeongbu,姐夫（女稱姐夫）,A husband of a girl’s older sister
2771,휴식,hyusik,休息,"Rest, take a rest"
2772,굳다,gutda,堅硬、變硬、堅定,Harden or become hard
2773,굳어지다,gudeojida,變硬、固化、確定,Become hard
2774,굶다,gumda,挨餓、餓肚子,To starve or go hungry
2775,금년,geumnyeon,今年,This year
2776,기기,gigi,機器、設備、儀器,Machinery and tools
2777,까맣다,kkamata,烏黑、漆黑,Black
2778,나침반,nachimban,指南針、羅盤,A compass
2779,농부,nongbu,農民、農夫,A farmer
2780,대학원,daehagwon,研究所、研究生院,Graduate school
2781,더럽다,deoreopda,骯髒、卑劣,"Foul, dirty"
2782,도달하다,dodalhada,到達、達到,Arrival
2783,맛보다,matboda,品嚐、嚐到,Taste
2784,무늬,munui,花紋、圖案,Pattern
2785,문장,munjang,文章、句子,"writing,composition"
2786,묻다,mutda,埋、掩埋、埋藏,to Bury
2787,변호사,byeonhosa,律師,Lawyer
2788,상,sang,塑像、圖像、雕像,"A statue,a figure"
2789,상상력,sangsangryeok,想像力,Imaginative powers
2790,여학생,yeohaksaeng,女學生,Female student
2791,영업,yeongeop,營業、經商,"business, doing business"
2792,예,ye,昔日、從前,"Old days, days gone by"
2793,예방,yebang,預防,"Prevention, protection"
2794,완성,wanseong,完成,"completion,accomplishment"
2795,유리하다,yurihada,有利,"To be profitable, favorable"
2796,자연환경,jayeonhwangyeong,自然環境,Natural surroundings
2797,증명하다,jeungmyeonghada,證明,"To prove,show,bear"
2798,지적되다,jijeokdoeda,被指出、被指明（被動）,To be pointed out to
2799,지점,jijeom,地點、分店、據點,"A spot, point"
2800,철저히,cheoljeohi,徹底地,Thoroughly
2801,코스,koseu,路線、球場、課程,Course
2802,학부모,hakbumo,學生家長,Mothers of the students
2803,합리적,haprijeok,合理的,"Rational, reasonable"
2804,해석하다,haeseokhada,解釋、解析,"To intrepret, construe"
2805,힘쓰다,himsseuda,努力、竭力、用力,To try really hard
2806,거듭,geodeup,一再、再三、反覆,Again or over and over
2807,귀국하다,gwigukhada,回國、歸國,To return to one’s home country
2808,기뻐하다,gippeohada,高興、喜悅,Be pleased or delighted with
2809,날리다,nalrida,使飛起、放飛 / 揮霍,To send flying
2810,내려놓다,naeryeonota,放下、擱下,Set or put down
2811,냉장고,naengjanggo,冰箱、冷凍庫,Freezer
2812,당근,danggeun,胡蘿蔔 / 當然,A carrot
2813,덜다,deolda,減少、減輕、分出,"Save, lighten"
2814,마누라,manura,老婆、老伴,one’s wife
2815,맞이하다,majihada,迎接、迎來,Go to greet
2816,불행하다,bulhaenghada,不幸、倒楣、坎坷,"Unfortunate, unlucky (opp. 다행하다)"
2817,신고하다,singohada,申報、報案,"To state, declare"
2818,연속,yeonsok,連續,"continuity,succession"
2819,외롭다,oeropda,孤單、寂寞,"To be lonely, lonesome"
2820,욕,yok,辱罵、髒話 / 恥辱,An insult
2821,원장,wonjang,院長（補習班/幼兒園/醫院）,The chief/head (of a 학원)
2822,유물,yumul,遺物、文化遺產,"A relic, cultural remains"
2823,저절로,jeojeolro,自然而然地、自動地,"Of itself, on its own accord"
2824,절,jeol,行禮、鞠躬、拜年,Bow in salutation
2825,정비,jeongbi,整備、整頓、保養維修,maintaining equipment in good working order
2826,주의,juui,注意、留心 / 主義,"attention,notice"
2827,지난번,jinanbeon,上次、上回,Last time
2828,집어넣다,jibeoneota,放進、塞進,Put in
2829,통계,tonggye,統計,Statistics
2830,파일,pail,檔案、文件夾,File
2831,판,pan,局、盤、場（比賽單位）,"A match, game, contest"
2832,피해자,pihaeja,受害者、受害人,"A sufferer, the injured party"
2833,필수적,pilsujeok,必須的、必不可少的,"necessary,indispensable"
2834,학용품,hagyongpum,學生文具、學習用品,"School things, supplies"
2835,화분,hwabun,花盆,Flower pot
2836,환하다,hwanhada,明亮、豁亮、燦爛,"To be clear, unobstructed ; to be light, bright (opp. 어둡다)"
2837,갈색,galsaek,褐色、棕色,Brown
2838,감기,gamgi,感冒,A cold
2839,강남,gangnam,江南（漢江以南）,South of a river
2840,구속되다,gusokdoeda,被拘留、拘捕（被動）,To be arrested
2841,멋지다,meotjida,帥氣、精彩、極棒,Be splendid
2842,반발,banbal,反彈、抗拒、強烈反對,"Repulsion, a backlash"
2843,반찬,banchan,小菜、配菜,Sie dishes
2844,방지,bangji,防止、預防,"Prevention, check"
2845,배다,baeda,滲透、滲入、習慣成自然,Soak into
2846,보장,bojang,保障、保證,"guarantee,security"
2847,빠져나오다,ppajyeonaoda,擺脫、逃出、走出來,Come out of somewhere
2848,새다,saeda,漏、滲漏、破曉,"leak,escape from"
2849,소개되다,sogaedoeda,被介紹（被動）,"To be introduced,presented"
2850,씨,ssi,種子、種,Seeds (sow)
2851,안쪽,anjjok,內側、裡面,"The inside, the inner part"
2852,억울하다,eogulhada,冤枉、委屈,"To be regrettable, disappointing"
2853,오가다,ogada,來往、穿梭,"Come and go, keep going and coming"
2854,요구되다,yogudoeda,被要求（被動）,"To be requested, claimed"
2855,음성,eumseong,聲音、語音,A voice
2856,이윽고,ieukgo,不久、隨後,"After a while, shortly"
2857,장식,jangsik,裝飾、裝潢,Decoration
2858,전개하다,jeongaehada,展開、開展,"To unfold,evolve,spread out"
2859,전날,jeonnal,前一天、前日,"The day before, the day prior"
2860,전반적,jeonbanjeok,全盤的、普遍的,"over-all,all"
2861,척하다,cheokhada,假裝、裝作,The preceding verb is a lie
2862,풍습,pungseup,風俗、習俗,"customs,manners,practices ; a ritual, rituals"
2863,한가운데,hangaunde,正中間、正中央,"The very middle, the center"
2864,한정되다,hanjeongdoeda,受限、被限定（被動）,"To be limiited, qualified"
2865,해내다,haenaeda,戰勝、克服、完成,"To accomplish, achieve, carry through"
2866,흉내,hyungnae,模仿、效仿,"Imitation, mimicry"
2867,감옥,gamok,監獄,Prison
2868,갚다,gapda,償還、報答、報復,Pay back a loan
2869,건전하다,geonjeonhada,健全、健康,Health or soundness or vitality
2870,결혼식,gyeolhonsik,結婚典禮、婚禮,Wedding
2871,계산기,gyesangi,計算機,Calculator
2872,광장,gwangjang,廣場,An open space or a plaza or public square
2873,그렇지,geureochi,是啊、沒錯,So it is or that is right
2874,깨다,kkaeda,打碎、摔破、打破,Break or crack
2875,꽉,kkwak,緊緊地、塞滿,Tightly or fast
2876,끼우다,kkiuda,插入、夾入、套入,To put between or insert
2877,노래하다,noraehada,唱歌、歌唱,To sing
2878,다듬다,dadeumda,修整、修剪、梳理,"Trim, shave"
2879,다름없다,dareumeopda,毫無二致、差不多,"Be similar, not different"
2880,당당하다,dangdanghada,堂堂正正、威風凜凜,Dignified
2881,댐,daem,水壩、水庫,Dam
2882,덩어리,deongeori,塊、團、疙瘩,"A lump, a cluster"
2883,모처럼,mocheoreom,難得、好不容易,At long last
2884,물리학,mulrihak,物理學,Physics
2885,벌,beol,懲罰、罰 / 套（衣服量詞）,Punishment
2886,부정적,bujeongjeok,否定的、消極的,"negative, contradicting sth else, not positive"
2887,북부,bukbu,北部、北方,The north part
2888,분리,bunri,分離、分開,"separation,segration"
2889,상당,sangdang,相當、合適,"proper,fit,suitable"
2890,세다,seda,強、強烈、厲害,"To be strong, mighty"
2891,소개,sogae,介紹,Introduction
2892,수화기,suhwagi,話筒、聽筒,Telephone receiver
2893,애인,aein,愛人、情人、戀人,A lover
2894,애초,aecho,當初、一開始,"The first, the beginning"
2895,얇다,yalda,薄,To be thin
2896,양념,yangnyeom,調味料、佐料,Spices and condiments
2897,에,e,在、於、到（助詞）,at/in/on
2898,오염되다,oyeomdoeda,被污染（被動）,"To be polluted, contaminated"
2899,오해,ohae,誤會、誤解,Misunderstanding
2900,웬일,wenil,什麼事、怎麼回事,"What cause, what reason"
2901,의식,uisik,儀式 / 意識,A ceremony
2902,의지하다,uijihada,依靠、依賴,"To look to, depend on, rely on"
2903,일기,ilgi,日記,"A diary, journal"
2904,절대,jeoldae,絕對,Absoluteness
2905,제한하다,jehanhada,限制、局限,"To restrict,limit"
2906,존중하다,jonjunghada,尊重,"appreciate,esteem,value"
2907,창고,changgo,倉庫,"A warehouse,storehouse"
2908,채,chae,尚未、不到（副詞） / 棟,"Still, not yet"
2909,책임지다,chaegimjida,承擔責任、負責,Take responsibility
2910,청춘,cheongchun,青春,"youth,the springtime of life"
2911,초반,choban,前期、前半期、開局,The opening part (of a game of baduk)
2912,트럭,teureok,卡車、貨車,Truck
2913,파,pa,蔥、大蔥,Onions
2914,폭넓다,pongneolda,廣泛、寬廣,To be broad
2915,표현되다,pyohyeondoeda,被表達、呈現（被動）,To have been expressed
2916,학번,hakbeon,入學年份、學號,Year of graduation
2917,학원,hagwon,補習班、學院,Learning institute
2918,허가,heoga,許可、批准,"Permission, grant, leave"
2919,헤매다,hemaeda,徘徊、迷惘,"Wander about, roam about"
2920,가장,gajang,家長、一家之主,Head of a household
2921,곡,gok,曲子、歌曲,A tune or an air
2922,곡식,goksik,糧食、穀物,Cereals or grain
2923,꽂다,kkotda,插、插上,Be stuck in or insert
2924,망설이다,mangseorida,猶豫、躊躇,Hesitate
2925,무리,muri,群、群體、幫,"A company, a band"
2926,버터,beoteo,奶油、牛油,Butter
2927,별다르다,byeoldareuda,特別、與眾不同,Be of a peculiar kind
2928,보편적,bopyeonjeok,普遍的,Universal
2929,부품,bupum,零件、配件,"Parts, accessories"
2930,뻔하다,ppeonhada,差一點、險些 / 明擺著,"almost,nearly"
2931,뽑히다,ppophida,被拔出、被選中（被動）,"Be taken out, pulled out"
2932,상담,sangdam,諮詢、商談,Consultation
2933,서부,seobu,西部、西方,The western part
2934,속담,sokdam,俗語、諺語,"A proverb,saying"
2935,시중,sijung,市面、民間,In the city
2936,심사,simsa,審查、評審,"judgment,examination"
2937,아이,ai,哎呀（感嘆詞） / 孩子,Oh my god!
2938,앞세우다,apseuda,讓...走在前面、推舉、由...領頭,Make a person go
2939,유사하다,yusahada,相似、雷同,"To be similar, to resemble"
2940,유치원,yuchiwon,幼兒園,Kindergarten
2941,의욕,uiyok,幹勁、意志、意欲,"volition,will,desire"
2942,인근,ingeun,附近、鄰近地區,The neighborhood
2943,일반인,ilbanin,一般人、大眾,Of the general public
2944,작성하다,jakseonghada,填寫、編寫、製作,"To edit or compose, write up ; to fill out a form"
2945,전공,jeongong,專業、主修,Specialty
2946,정기,jeonggi,定期,A fixed time period
2947,제의,jeui,提議、提請,"A proposal,an offer"
2948,종일,jongil,整天、終日,"All day, throughout the whole day"
2949,좋아지다,joajida,好轉、變好,To become better
2950,차림,charim,打扮、裝束,Appearance of clothes or worn objecs
2951,창조하다,changjohada,創造,Create
2952,추위,chuwi,寒冷、嚴寒,Cold
2953,토마토,tomato,番茄、西紅柿,Tomato
2954,파랗다,parata,湛藍、碧綠、青,To be blue
2955,펴내다,pyeonaeda,出版、發行,"Publish, bring out in print"
2956,하드웨어,hadeuweeo,硬體,Hardwaer
2957,화장,hwajang,化妝 / 火葬,Makeup
2958,가져가다,gajyeogada,帶走、拿去,To take or carry
2959,감자,gamja,馬鈴薯、土豆,Potato
2960,강렬하다,gangryeolhada,強烈、劇烈,Intense or strong or severe
2961,갖다,gatda,擁有、具有、拿著,Possess
