編號,韓文,羅馬拼音,中文,英文,漢語拼音,IPA音標,類別,詞性
839,초심자,chosimja,初心者,Beginner,chūxīnzhě,ʨʰo.ɕʰim.ʥa.,Hanja,名詞
840,초순,chosun,初旬,The first third of a month,chūxún,ʨʰo.sʰun.,Hanja,名詞
841,출연,chulyeon,出演,Going on stage,chūyǎn,ʨʰuɾ.jʌn.,Hanja,名詞
842,출장,chuljang,出張,A business trip,chūzhāng,ʨʰul.ʨ͈aŋ.,Hanja,名詞
843,촉진,chokjin,觸診,Palpate,chùzhěn,ʨʰok̚.ʨ͈in.,Hanja,名詞
844,출자,chulja,出資,Contribution,chūzī,ʨʰul.ʨ͈a.,Hanja,名詞
845,자애,jaae,慈愛,lovingkindness,cíài,ʨa.ɛ.,Hanja,名詞
846,자비,jabi,慈悲,compassion,cíbēi,ʨa.bi.,Hanja,名詞
847,사표,sapyo,辭表,A written resignation,cíbiǎo,sʰa.pʰjo.,Hanja,名詞
848,자장,jajang,磁場,magnetic field,cíchǎng,ʨa.ʥaŋ.,Hanja,名詞
849,차차,chacha,次次,Gradually,cìcì,ʨʰa.ʨʰa.,Hanja,副詞
850,사전,sajeon,辭典,"beforehand,in advance",cídiǎn,sʰa.ʥʌn.,Hanja,名詞
851,차관,chagwan,次官,Vice Minister,cìguān,ʨʰa.ɡu̯an.,Hanja,名詞
852,자극,jageuk,刺戟,A stimulus,cìjǐ,ʨa.ɡɯk̚.,Hanja,名詞
853,자계,jagye,磁界,magnetic world,cíjiè,ʨa.ɡje.,Hanja,名詞
854,자객,jagaek,刺客,Assassin,cìkè,ʨa.ɡɛk̚.,Hanja,名詞
855,자력,jaryeok,磁力,Magnetism,cílì,ʨa.ɾjʌk̚.,Hanja,名詞
856,차례,charye,次例,"(1) order,precedence (2) one time, one round",cìlì,ʨʰa.ɾje.,Hanja,名詞
857,차남,chanam,次男,one’s second eldest son,cìnán,ʨʰa.nam.,Hanja,名詞
858,자기,jagi,磁器,"Oneself, number one, numerouno, self",cíqì,ʨa.ɡi.,Hanja,代名詞
859,자기,jagi,磁氣,"Oneself, number one, numerouno, self",cíqì,ʨa.ɡi.,Hanja,代名詞
860,사임,saim,辭任,resign,círèn,sʰa.im.,Hanja,名詞
861,자석,jaseok,磁石,magnet,císhí,ʨa.sʰʌk̚.,Hanja,名詞
862,자속,jasok,磁束,magnetic beam,císhù,ʨa.sʰok̚.,Hanja,名詞
863,사서,saseo,辭書,Dictionary,císhū,sʰa.sʰʌ.,Hanja,名詞
864,자철광,jacheolgwang,磁鐵鑛,Magnetite,cítiěkuàng,ʨa.ʨʰʌl.k͈u̯aŋ.,Hanja,名詞
865,사퇴,satoe,辭退,dismiss,cítuì,sʰa.tʰu̯e.,Hanja,名詞
866,차원,chawon,次元,Dimension,cìyuán,ʨʰa.u̯ʌn.,Hanja,名詞
867,자침,jachim,磁針,magnetic needle,cízhēn,ʨa.ʨʰim.,Hanja,名詞
868,사직,sajik,辭職,resign,cízhí,sʰa.ʥik̚.,Hanja,名詞
869,종군,jonggun,從軍,Join the army,cóngjūn,ʨoŋ.ɡun.,Hanja,名詞
870,총명,chongmyeong,聰明,smart,cōngmíng,ʨʰoŋ.mjʌŋ.,Hanja,名詞
871,종속,jongsok,從屬,Subordinate,cóngshǔ,ʨoŋ.sok̚.,Hanja,名詞
872,종물,jongmul,從物,From things,cóngwù,ʨoŋ.mul.,Hanja,名詞
873,종업원,jongeopwon,從業員,waiter/waitress,cóngyèyuán,ʨoŋ.ʌb.u̯ʌn.,Hanja,名詞
874,종자,jongja,從者,follower,cóngzhě,ʨoŋ.ʥa.,Hanja,名詞
875,초산,chosan,醋酸,acetic acid,còsuān,ʨʰo.sʰan.,Hanja,名詞
876,졸도,joldo,卒倒,Fallen,cúdǎo,ʨol.t͈o.,Hanja,名詞
877,최음제,choeeumje,催淫劑,aphrodisiac,cuīyínjì,ʨʰu̯e.ɯm.ʥe.,Hanja,名詞
878,췌장,chwejang,膵臟,dirt,cuìzàng,ʨʰu̯e.ʥaŋ.,Hanja,名詞
879,촉진,chokjin,促進,promote,cùjìn,ʨʰok̚.ʨ͈in.,Hanja,名詞
880,촌극,chongeuk,寸劇,inch drama,cùnjù,ʨʰoŋ.ɡɯk̚.,Hanja,名詞
881,존속,jonsok,存續,Survive,cúnxù,ʨon.sok̚.,Hanja,名詞
882,존재,jonjae,存在,Existence,cúnzài,ʨon.ʥɛ.,Hanja,名詞
883,착각,chakgak,錯覺,"Hallucination, illusion",cuòjué,ʨʰak̚.k͈ak̚.,Hanja,名詞
884,촬영,chwalyeong,撮影,"Photographing, taking pictures/films",cuòyǐng,ʨʰu̯aɾ.jʌŋ.,Hanja,名詞
885,좌절,jwajeol,挫折,frustration,cuòzhé,ʨu̯a.ʥʌl.,Hanja,名詞
886,조치,jochi,措置,Deal with,cuòzhì,ʨo.ʨʰi.,Hanja,名詞
887,축구,chukgu,蹴球,Football,cùqiú,ʨʰuk̚.k͈u.,Hanja,名詞
888,축구장,chukgujang,蹴球場,Soccer field,cùqiúchǎng,ʨʰuk̚.k͈u.ʥaŋ.,Hanja,名詞
889,졸업,joleop,卒業,Graduation,cúyè,ʨoɾ.ʌp̚.,Hanja,名詞
890,졸업생,joleopsaeng,卒業生,A graduate,cúyèshēng,ʨoɾ.ʌp.s͈ɛŋ.,Hanja,名詞
891,답변,dapbyeon,答辯,An answer,dábiàn,tap̚.p͈jʌn.,Hanja,名詞
892,대부분,daebubun,大部分,Most,dàbùfèn,tɛ.bu.bun.,Hanja,名詞
893,탑승,tapseung,搭乘,take a ride,dāchéng,tʰap.s͈ɯŋ.,Hanja,名詞
894,탑승권,tapseunggwon,搭乘券,Ride ticket,dāchéngquàn,tʰap.s͈ɯŋ.ɡu̯ʌn.,Hanja,名詞
895,타도,tado,打倒,knock down,dǎdǎo,tʰa.do.,Hanja,名詞
896,타전,tajeon,打電,Make a call,dǎdiàn,tʰa.ʥʌn.,Hanja,名詞
897,대동맥,daedongmaek,大動脈,aorta,dàdòngmài,tɛ.doŋ.mɛk̚.,Hanja,名詞
898,대다수,daedasu,大多數,A large majority,dàduōshù,tɛ.da.sʰu.,Hanja,名詞
899,대도시,daedosi,大都市,Large city,dàdūshì,tɛ.do.ɕʰi.,Hanja,名詞
900,대개,daegae,大槪,"Mostly, for the most part",dàgài,tɛ.ɡɛ.,Hanja,名詞
901,대강,daegang,大綱,General principles,dàgāng,tɛ.ɡaŋ.,Hanja,副詞
902,대규모,daegyumo,大規模,On a large scale,dàguīmó,tɛ.ɡju.mo.,Hanja,名詞
903,대과거,daegwageo,大過去,big past,dàguòqù,tɛ.ɡu̯a.ɡʌ.,Hanja,名詞
904,대회,daehoe,大會,A great meeting,dàhuì,tɛ.ɦu̯e.,Hanja,名詞
905,대표,daepyo,代表,Representative,dàibiǎo,tɛ.pʰjo.,Hanja,名詞
906,대표적,daepyojeok,代表的,Representative,dàibiǎode·,tɛ.pʰjo.ʥʌk̚.,Hanja,名詞
907,대표자,daepyoja,代表者,Representative,dàibiǎozhě,tɛ.pʰjo.ʥa.,Hanja,名詞
908,체포,chepo,逮捕,arrest,dǎibǔ,ʨʰe.pʰo.,Hanja,名詞
909,체포자,chepoja,逮捕者,arrester,dǎibǔzhě,ʨʰe.pʰo.ʥa.,Hanja,名詞
910,대출,daechul,貸出,Lending,dàichū,tɛ.ʨʰul.,Hanja,名詞
911,대타자,daetaja,代打者,pinch hitter,dàidǎzhě,tɛ.tʰa.ʥa.,Hanja,名詞
912,대부,daebu,代父,surrogate father,dàifù,tɛ.bu.,Hanja,名詞
913,대부,daebu,貸付,loan payment,dàifù,tɛ.bu.,Hanja,名詞
914,대합실,daehapsil,待合室,A waiting room,dàihéshì,tɛ.ɦap.ɕʰil.,Hanja,名詞
915,대기,daegi,待機,The atmosphere,dàijī,tɛ.ɡi.,Hanja,名詞
916,대가,daega,代價,"A price, cost, charge, consideration, purchase money, value",dàijià,tɛ.ɡa.,Hanja,名詞
917,대차,daecha,貸借,loan,dàijiè,tɛ.ʨʰa.,Hanja,名詞
918,대접,daejeop,待接,Treatment,dàijiē,tɛ.ʥʌp̚.,Hanja,名詞
919,대리,daeri,代理,agent,dàilǐ,tɛ.ɾi.,Hanja,名詞
920,대리점,daerijeom,代理店,agency,dàilǐdiàn,tɛ.ɾi.ʥʌm.,Hanja,名詞
921,대리인,daeriin,代理人,agent,dàilǐrén,tɛ.ɾi.in.,Hanja,名詞
922,태만,taeman,怠慢,neglect,dàimàn,tʰɛ.man.,Hanja,名詞
923,대명사,daemyeongsa,代名詞,pronoun,dàimíngcí,tɛ.mjʌŋ.sa.,Hanja,名詞
924,대모,daemo,代母,surrogate mother,dàimǔ,tɛ.mo.,Hanja,名詞
925,대기,daegi,待期,The atmosphere,dàiqí,tɛ.ɡi.,Hanja,名詞
926,대입,daeip,代入,Substitute,dàirù,tɛ.ip̚.,Hanja,名詞
927,대신,daesin,代身,Instead of,dàishēn,tɛ.ɕʰin.,Hanja,名詞
928,대수,daesu,代數,algebra,dàishǔ,tɛ.sʰu.,Hanja,名詞
929,대체,daeche,代替,"An outline, summary",dàitì,tɛ.ʨʰe.,Hanja,副詞
930,대용,daeyong,代用,substitute,dàiyòng,tɛ.joŋ.,Hanja,名詞
931,대우,daeu,待遇,Treatment,dàiyù,tɛ.u.,Hanja,名詞
932,대군,daegun,大君,Maharaja,dàjūn,tɛ.ɡun.,Hanja,名詞
933,대량,daeryang,大量,A large quantity,dàliàng,tɛ.ɾjaŋ.,Hanja,名詞
934,대리석,daeriseok,大理石,Marble,dàlǐshí,tɛ.ɾi.sʰʌk̚.,Hanja,名詞
935,대륙,daeryuk,大陸,A continent,dàlù,tɛ.ɾjuk̚.,Hanja,名詞
936,대략,daeryak,大略,"an outline, summary (2) generally, on the whole",dàluè,tɛ.ɾjak̚.,Hanja,副詞
937,대륙붕,daeryukbung,大陸棚,continental shelf,dàlùpéng,tɛ.ɾjuk̚.p͈uŋ.,Hanja,名詞
938,대문,daemun,大門,A big gate,dàmén,tɛ.mun.,Hanja,名詞
939,대뇌,daenoe,大腦,brain,dànǎo,tɛ.nu̯e.,Hanja,名詞
940,단백질,danbaekjil,蛋白質,protein,dànbáizhí,tam.bɛk̚.ʨ͈il.,Hanja,名詞
941,단순,dansun,單純,Simplicity,dānchún,tan.sun.,Hanja,名詞
942,담당,damdang,擔當,"Charge, undertaking",dāndāng,tam.daŋ.,Hanja,名詞
943,담당자,damdangja,擔當者,Person in charge,dāndāngzhě,tam.daŋ.ʥa.,Hanja,名詞
944,단조,danjo,單調,monotonous,dāndiào,tan.ʥo.,Hanja,名詞
945,단독,dandok,丹毒,Independence,dāndú,tan.dok̚.,Hanja,名詞
946,단독,dandok,單獨,Independence,dāndú,tan.dok̚.,Hanja,名詞
947,단풍,danpung,丹楓,Fall foliage,dānfēng,tam.pʰuŋ.,Hanja,名詞
948,단봉낙타,danbongnakta,單峰駱駝,dromedary camel,dānfēngluòtuó,tam.boŋ.nak̚.tʰa.,Hanja,名詞
949,당장,dangjang,當場,"On the spot, immediately",dāngchǎng,taŋ.ʥaŋ.,Hanja,名詞
950,당분간,dangbungan,當分間,For the present,dāngfēnjiān,taŋ.buŋ.ɡan.,Hanja,副詞
951,당혹,danghok,當惑,When confused,dānghuò,taŋ.hok̚.,Hanja,名詞
952,당파,dangpa,黨派,Party,dǎngpài,taŋ.pʰa.,Hanja,名詞
953,당첨,dangcheom,當籤,When signing,dāngqiān,taŋ.ʨʰʌm.,Hanja,名詞
954,당연,dangyeon,當然,Of course,dāngrán,taŋ.jʌn.,Hanja,名詞
955,당신,dangsin,當身,Formal you,dāngshēn,taŋ.ɕʰin.,Hanja,代名詞
956,당시,dangsi,當時,At that time,dāngshí,taŋ.ɕʰi.,Hanja,名詞
957,대역,daeyeok,大逆,great rebellion,dànì,tɛ.jʌk̚.,Hanja,名詞
958,담력,damryeok,膽力,Courage,dǎnlì,tam.njʌk̚.,Hanja,名詞
959,단리,danri,單利,simple interest,dānlì,tal.li.,Hanja,名詞
960,담임,damim,擔任,"Charge, duty",dānrèn,tam.im.,Hanja,名詞
961,탄생,tansaeng,誕生,Birth,dànshēng,tʰan.sɛŋ.,Hanja,名詞
962,담석,damseok,膽石,gallstones,dǎnshí,tam.sʌk̚.,Hanja,名詞
963,단서,danseo,但書,Proviso,dànshū,tan.sʌ.,Hanja,名詞
964,담수,damsu,淡水,fresh water,dànshuǐ,tam.su.,Hanja,名詞
965,단위,danwi,單位,"A unit, a monad",dānwèi,tan.ɥi.,Hanja,名詞
966,단문,danmun,單文,single article,dānwén,tam.mun.,Hanja,名詞
967,단안경,danangyeong,單眼鏡,monocular,dānyǎnjìng,tan.aŋ.ɡjʌŋ.,Hanja,名詞
968,탄약,tanyak,彈藥,ammunition,dànyào,tʰan.jak̚.,Hanja,名詞
969,단일,danil,單一,single,dānyī,tan.il.,Hanja,名詞
970,단음,daneum,單音,single tone,dānyīn,tan.ɯm.,Hanja,名詞
971,단어,daneo,單語,Word,dānyǔ,tan.ʌ.,Hanja,名詞
972,단지,danji,但只,"Simple, merely",dànzhǐ,tan.ʥi.,Hanja,副詞
973,담즙,damjeup,膽汁,bile,dǎnzhī,tam.ʥɯp̚.,Hanja,名詞
974,도표,dopyo,道標,signpost,dàobiāo,to.pʰjo.,Hanja,名詞
975,도정,dojeong,道程,Daocheng,dàochéng,to.ʥʌŋ.,Hanja,名詞
976,도착,dochak,倒錯,Arrival,dǎocuò,to.ʨʰak̚.,Hanja,名詞
977,도달,dodal,到達,Arrive,dàodá,to.dal.,Hanja,名詞
978,도덕,dodeok,道德,"Morality, ethics",dàodé,to.dʌk̚.,Hanja,名詞
979,도저,dojeo,到底,in the end,dàodǐ,to.ʥʌ.,Hanja,名詞
980,도화선,dohwaseon,導火線,fuse,dǎohuǒxiàn,to.ɦu̯a.sʰʌn.,Hanja,名詞
981,도구,dogu,道具,"Tool, instrument",dàojù,to.ɡu.,Hanja,名詞
982,도리,dori,道理,Reason,dàolǐ,to.ɾi.,Hanja,名詞
983,도로,doro,道路,"A road, way",dàolù,to.ɾo.,Hanja,名詞
984,도난,donan,盜難,Difficult to steal,dàonán,to.nan.,Hanja,名詞
985,도입,doip,導入,"introduction, invitation",dǎorù,to.ip̚.,Hanja,名詞
986,도청,docheong,盜聽,eavesdrop,dàotīng,to.ʨʰʌŋ.,Hanja,名詞
987,도의,doui,道義,moral,dàoyì,to.e.,Hanja,名詞
988,도착,dochak,到着,Arrival,dàozhe·,to.ʨʰak̚.,Hanja,名詞
989,대포,daepo,大砲,cannon,dàpào,tɛ.pʰo.,Hanja,名詞
990,타파,tapa,打破,break,dǎpò,tʰa.pʰa.,Hanja,名詞
991,대기,daegi,大氣,The atmosphere,dàqì,tɛ.ɡi.,Hanja,名詞
992,대전제,daejeonje,大前提,major premise,dàqiántí,tɛ.ʥʌn.ʥe.,Hanja,名詞
993,대구,daegu,大邱,Daegu city,dàqiū,tɛ.ɡu.,Hanja,專有名詞
994,대기업,daegieop,大企業,Big enterprise,dàqìyè,tɛ.ɡi.ʌp̚.,Hanja,名詞
995,대사,daesa,大赦,"Speech, dialogue",dàshè,tɛ.sʰa.,Hanja,名詞
996,대사,daesa,大使,"Speech, dialogue",dàshǐ,tɛ.sʰa.,Hanja,名詞
997,대사관,daesagwan,大使館,Embassy,dàshǐguǎn,tɛ.sʰa.ɡu̯an.,Hanja,名詞
998,타산,tasan,打算,plan,dǎsuàn,tʰa.sʰan.,Hanja,名詞
999,타산적,tasanjeok,打算的,planned,dǎsuànde·,tʰa.sʰan.ʥʌk̚.,Hanja,名詞
1000,대체,daeche,大體,"An outline, summary",dàtǐ,tɛ.ʨʰe.,Hanja,副詞
1001,대전,daejeon,大田,Daejon city,dàtián,tɛ.ʥʌn.,Hanja,專有名詞
1002,대통령,daetongryeong,大統領,The president,dàtǒnglǐng,tɛ.tʰoŋ.njʌŋ.,Hanja,名詞
1003,대단원,daedanwon,大團圓,Happy reunion,dàtuányuán,tɛ.dan.u̯ʌn.,Hanja,名詞
1004,대망,daemang,大望,Dawang,dàwàng,tɛ.maŋ.,Hanja,名詞
1005,대문자,daemunja,大文字,large text,dàwénzì,tɛ.mun.ʥa.,Hanja,名詞
1006,대형,daehyeong,大型,"Large, full-sized",dàxíng,tɛ.hjʌŋ.,Hanja,名詞
1007,대서양,daeseoyang,大西洋,atlantic ocean,dàxīyáng,tɛ.sʰʌ.jaŋ.,Hanja,名詞
1008,대학,daehak,大學,University,dàxué,tɛ.ɦak̚.,Hanja,名詞
1009,대학교수,daehakgyosu,大學敎授,University professor,dàxuéjiàoshòu,tɛ.ɦak̚.k͈jo.sʰu.,Hanja,名詞
1010,대학생,daehaksaeng,大學生,University student,dàxuéshēng,tɛ.ɦak̚.s͈ɛŋ.,Hanja,名詞
1011,대학교,daehakgyo,大學校,University,dàxuéxiào,tɛ.ɦak̚.k͈jo.,Hanja,名詞
1012,대학원,daehakwon,大學院,Graduate school,dàxuéyuàn,tɛ.ɦaɡ.u̯ʌn.,Hanja,名詞
1013,대양,daeyang,大洋,Ocean,dàyáng,tɛ.jaŋ.,Hanja,名詞
1014,대요,daeyo,大要,Basically,dàyào,tɛ.jo.,Hanja,名詞
1015,대략,daeryak,大約,"an outline, summary (2) generally, on the whole",dàyuē,tɛ.ɾjak̚.,Hanja,副詞
1016,대중,daejung,大衆,The masses,dàzhòng,tɛ.ʥuŋ.,Hanja,名詞
1017,대중적,daejungjeok,大衆的,Of the masses,dàzhòngde·,tɛ.ʥuŋ.ʥʌk̚.,Hanja,名詞
1018,대중교통,daejunggyotong,大衆交通,Mass transportation,dàzhòngjiāotōng,tɛ.ʥuŋ.ɡjo.tʰoŋ.,Hanja,名詞
1019,대중문화,daejungmunhwa,大衆文化,Pop culture,dàzhòngwénhuà,tɛ.ʥuŋ.mun.hu̯a.,Hanja,名詞
1020,답장,dapjang,答狀,An answer,dázhuàng,tap̚.ʨ͈aŋ.,Hanja,名詞
1021,타자,taja,打字,typing,dǎzì,tʰa.ʥa.,Hanja,名詞
1022,타자기,tajagi,打字機,A typewriter,dǎzìjī,tʰa.ʥa.ɡi.,Hanja,名詞
1023,득점,deukjeom,得點,Got some points,dédiǎn,tɯk̚.ʨ͈ʌm.,Hanja,名詞
1024,덕분,deokbun,德分,Indebtedness,défēn,tʌk̚.p͈un.,Hanja,名詞
1025,등차수열,deungchasuyeol,等差數列,Arithmetic sequence,děngchāshǔliè,tɯŋ.ʨʰa.sʰu.jʌl.,Hanja,名詞
1026,등기,deunggi,登記,Register,dēngjì,tɯŋ.ɡi.,Hanja,名詞
1027,등가,deungga,等價,Equivalent,děngjià,tɯŋ.ɡa.,Hanja,名詞
1028,등록,deungrok,登錄,Login,dēnglù,tɯŋ.nok̚.,Hanja,名詞
1029,등반,deungban,登攀,climb,dēngpān,tɯŋ.ban.,Hanja,名詞
1030,등산,deungsan,登山,mountain climbing,dēngshān,tɯŋ.san.,Hanja,名詞
1031,등대,deungdae,燈臺,lampstand,dēngtái,tɯŋ.dɛ.,Hanja,名詞
1032,등유,deungyu,燈油,lamp oil,dēngyóu,tɯŋ.ju.,Hanja,名詞
1033,득의,deukui,得意,proud,déyì,tɯɡ.e.,Hanja,名詞
1034,전보,jeonbo,電報,Telegraph,diànbào,ʨʌm.bo.,Hanja,名詞
1035,전지,jeonji,電池,battery,diànchí,ʨʌn.ʥi.,Hanja,名詞
1036,전등,jeondeung,電燈,electric light,diàndēng,ʨʌn.dɯŋ.,Hanja,名詞
1037,전분,jeonbun,澱粉,starch,diànfěn,ʨʌm.bun.,Hanja,名詞
1038,전하,jeonha,電荷,charge,diànhè,ʨʌn.ha.,Hanja,名詞
1039,점호,jeomho,點呼,Click to call,diǎnhū,ʨʌm.ho.,Hanja,名詞
1040,전화,jeonhwa,電話,Telephone,diànhuà,ʨʌn.hu̯a.,Hanja,名詞
1041,전화번호,jeonhwabeonho,電話番號,Telephone number,diànhuàfānhào,ʨʌn.hu̯a.bʌn.ho.,Hanja,名詞
1042,전화기,jeonhwagi,電話機,Telephone receiver,diànhuàjī,ʨʌn.hu̯a.ɡi.,Hanja,名詞
1043,전화요금,jeonhwayogeum,電話料金,Telephone fee,diànhuàliàojīn,ʨʌn.hu̯a.jo.ɡɯm.,Hanja,名詞
1044,점화,jeomhwa,點火,Ignite,diǎnhuǒ,ʨʌm.hu̯a.,Hanja,名詞
1045,전극,jeongeuk,電極,electrode,diànjí,ʨʌŋ.ɡɯk̚.,Hanja,名詞
1046,점검,jeomgeom,點檢,"inspection,examination",diǎnjiǎn,ʨʌm.ɡʌm.,Hanja,名詞
1047,전해,jeonhae,電解,electrolysis,diànjiě,ʨʌn.hɛ.,Hanja,名詞
1048,전리,jeonri,電離,ionization,diànlí,ʨʌl.li.,Hanja,名詞
1049,전력,jeonryeok,電力,electricity,diànlì,ʨʌl.ljʌk̚.,Hanja,名詞
1050,전류,jeonryu,電流,current,diànliú,ʨʌl.lju.,Hanja,名詞
1051,전기,jeongi,電器,Electricity,diànqì,ʨʌŋ.ɡi.,Hanja,名詞
1052,전기,jeongi,電氣,Electricity,diànqì,ʨʌŋ.ɡi.,Hanja,名詞
1053,전기요금,jeongiyogeum,電氣料金,Electrical materials,diànqìliàojīn,ʨʌŋ.ɡi.jo.ɡɯm.,Hanja,名詞
1054,전구,jeongu,電球,An electric bulb,diànqiú,ʨʌŋ.ɡu.,Hanja,名詞
1055,점수,jeomsu,點數,"marks,the number of marks",diǎnshǔ,ʨʌm.su.,Hanja,名詞
1056,전철,jeoncheol,電鐵,An electric railway,diàntiě,ʨʌn.ʨʰʌl.,Hanja,名詞
1057,점선,jeomseon,點線,dotted line,diǎnxiàn,ʨʌm.sʌn.,Hanja,名詞
1058,점심,jeomsim,點心,Lunch,diǎnxīn,ʨʌm.ɕʰim.,Hanja,名詞
1059,전형,jeonhyeong,典型,typical,diǎnxíng,ʨʌn.hjʌŋ.,Hanja,名詞
1060,전형적,jeonhyeongjeok,典型的,typical,diǎnxíngde·,ʨʌn.hjʌŋ.ʥʌk̚.,Hanja,名詞
1061,점심시간,jeomsimsigan,點心時間,Lunchtime,diǎnxīnshíjiān,ʨʌm.ɕʰim.ɕʰi.ɡan.,Hanja,名詞
1062,점원,jeomwon,店員,A shop-assistant,diànyuán,ʨʌm.u̯ʌn.,Hanja,名詞
1063,전원,jeonwon,電源,power supply,diànyuán,ʨʌn.u̯ʌn.,Hanja,名詞
1064,전자,jeonja,電子,An electron,diànzǐ,ʨʌn.ʥa.,Hanja,名詞
1065,조사,josa,調查,"investigation,inquiry",diàochá,ʨo.sʰa.,Hanja,名詞
1066,조달,jodal,調達,tune up,diàodá,ʨo.dal.,Hanja,名詞
1067,조각,jogak,雕刻,Sculpture,diāokè,ʨo.ɡak̚.,Hanja,名詞
1068,적교,jeokgyo,吊橋,suspension bridge,diàoqiáo,ʨʌk̚.k͈jo.,Hanja,名詞
1069,조상,josang,雕像,Ancestors,diāoxiàng,ʨo.sʰaŋ.,Hanja,名詞
1070,지층,jicheung,地層,stratum,dìcéng,ʨi.ʨʰɯŋ.,Hanja,名詞
1071,체전,chejeon,遞傳,pass on,dìchuán,ʨʰe.ʥʌn.,Hanja,名詞
1072,지자기,jijagi,地磁氣,geomagnetic gas,dìcíqì,ʨi.ʥa.ɡi.,Hanja,名詞
1073,지대,jidae,地帶,"Zone, belt, district",dìdài,ʨi.dɛ.,Hanja,名詞
1074,저당,jeodang,抵當,resist,dǐdāng,ʨʌ.daŋ.,Hanja,名詞
1075,저지,jeoji,低地,lowland,dīde·,ʨʌ.ʥi.,Hanja,名詞
1076,지점,jijeom,地點,"A spot, point",dìdiǎn,ʨi.ʥʌm.,Hanja,名詞
1077,적대,jeokdae,敵對,hostile,díduì,ʨʌk̚.t͈ɛ.,Hanja,名詞
1078,지방,jibang,地方,"A locality, district",dìfāng,ʨi.baŋ.,Hanja,名詞
1079,제국,jeguk,帝國,empire,dìguó,ʨe.ɡuk̚.,Hanja,名詞
1080,체결,chegyeol,締結,conclude,dìjié,ʨʰe.ɡjʌl.,Hanja,名詞
1081,지계,jigye,地階,Terrace,dìjiē,ʨi.ɡje.,Hanja,名詞
1082,지경,jigyeong,地境,"A boundary,situation,state",dìjìng,ʨi.ɡjʌŋ.,Hanja,依存名詞
1083,저항,jeohang,抵抗,Resist,dǐkàng,ʨʌ.ɦaŋ.,Hanja,名詞
1084,지뢰,jiroe,地雷,mines,dìléi,ʨi.ɾu̯e.,Hanja,名詞
1085,지리,jiri,地理,Geography,dìlǐ,ʨi.ɾi.,Hanja,名詞
1086,지면,jimyeon,地面,ground,dìmiàn,ʨi.mjʌn.,Hanja,名詞
1087,저능,jeoneung,低能,imbecile,dīnéng,ʨʌ.nɯŋ.,Hanja,名詞
1088,정상적,jeongsangjeok,定常的,"normal,like usual",dìngchángde·,ʨʌŋ.saŋ.ʥʌk̚.,Hanja,名詞
1089,정점,jeongjeom,定點,Fixed point,dìngdiǎn,ʨʌŋ.ʥʌm.,Hanja,名詞
1090,정제,jeongje,錠劑,lozenges,dìngjì,ʨʌŋ.ʥe.,Hanja,名詞
1091,정립,jeongrip,定立,establish,dìnglì,ʨʌŋ.nip̚.,Hanja,名詞
1092,정리,jeongri,定理,"arrangment,regulation,adjustment",dìnglǐ,ʨʌŋ.ni.,Hanja,名詞
1093,정년,jeongnyeon,定年,Dating,dìngnián,ʨʌŋ.njʌn.,Hanja,名詞
1094,정기,jeonggi,定期,A fixed time period,dìngqí,ʨʌŋ.ɡi.,Hanja,名詞
1095,정기적,jeonggijeok,定期的,"fixed,regular (time sth)",dìngqíde·,ʨʌŋ.ɡi.ʥʌk̚.,Hanja,名詞
1096,정상,jeongsang,頂上,"The top, summit",dǐngshàng,ʨʌŋ.saŋ.,Hanja,名詞
1097,정정,jeongjeong,訂正,Revise,dìngzhèng,ʨʌŋ.ʥʌŋ.,Hanja,名詞
1098,정족수,jeongjoksu,定足數,Set sufficient number,dìngzúshǔ,ʨʌŋ.ʥok̚.s͈u.,Hanja,名詞
1099,지반,jiban,地盤,territory,dìpán,ʨi.ban.,Hanja,名詞
1100,지구,jigu,地球,The earth,dìqiú,ʨi.ɡu.,Hanja,名詞
1101,지구,jigu,地區,The earth,dìqū,ʨi.ɡu.,Hanja,名詞
1102,지세,jise,地勢,terrain,dìshì,ʨi.sʰe.,Hanja,名詞
1103,적수,jeoksu,敵手,rival,díshǒu,ʨʌk̚.s͈u.,Hanja,名詞
1104,지도,jido,地圖,"Map, atlas",dìtú,ʨi.do.,Hanja,名詞
1105,지위,jiwi,地位,"Position, status",dìwèi,ʨi.ɥi.,Hanja,名詞
1106,지문학,jimunhak,地文學,Geography,dìwénxué,ʨi.mun.hak̚.,Hanja,名詞
1107,지협,jihyeop,地峽,isthmus,dìxiá,ʨi.hjʌp̚.,Hanja,名詞
1108,지하,jiha,地下,Underground,dìxià,ʨi.ɦa.,Hanja,名詞
1109,저하,jeoha,低下,low,dīxià,ʨʌ.ɦa.,Hanja,名詞
1110,지하도,jihado,地下道,Underground road,dìxiàdào,ʨi.ɦa.do.,Hanja,名詞
1111,지하실,jihasil,地下室,basement,dìxiàshì,ʨi.ɦa.ɕʰil.,Hanja,名詞
1112,지하철,jihacheol,地下鐵,Subway,dìxiàtiě,ʨi.ɦa.ʨʰʌl.,Hanja,名詞
1113,지하철역,jihacheolyeok,地下鐵驛,subway station,dìxiàtiěyì,ʨi.ɦa.ʨʰʌɾ.jʌk̚.,Hanja,名詞
1114,지형,jihyeong,地形,terrain,dìxíng,ʨi.hjʌŋ.,Hanja,名詞
1115,적의,jeokui,敵意,hostility,díyì,ʨʌɡ.e.,Hanja,名詞
