編號,韓文,羅馬拼音,中文,英文,Level (TOPIK等級),Part of Speech (詞性)
984,청소년,cheongsonyeon,青少年,"Young boys and girls, teenagers",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
985,응,eung,嗯、是啊（非敬語回答）,"Yes, i see!",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。0
986,이기다,igida,獲勝、戰勝、贏,To win,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
987,찾아보다,chajaboda,查找、拜訪、探望,To go meet somebody,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
988,취하다,chwihada,採取、取得 / 醉,"To adopt, assume, take",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
989,다루다,daruda,對待、處理、操作,"Treat, deal with",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
990,달,dal,月亮 / 月份,The moon,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
991,사장,sajang,社長、總裁、老闆,Company boss,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
992,삼월,samwol,三月,March,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
993,그렇지만,geureochiman,但是、然而、可是,But or however,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
994,선배,seonbae,前輩、學長/學姊,one's senior,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
995,업체,eopche,企業、廠商,A business enterprise,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
996,키,ki,身高、個子 / 鑰匙,"stature,height",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
997,구하다,guhada,尋找、求得、拯救,1) To buy or purchase or 2) look for or seek or want,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
998,국회,gukhoe,國會,The National Assembly,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
999,그러므로,geureomeuro,因此、所以,So or hence or therefore,B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1000,포함하다,pohamhada,包含、包括,"To include,contain",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1001,걱정,geokjeong,擔心、擔憂、顧慮,Worry,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1002,결혼하다,gyeolhonhada,結婚,Get married,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1003,만약,manyak,萬一、如果、假若,If,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1004,바르다,bareuda,正直、端正、筆直,Be straight; be honest,B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1005,세월,sewol,歲月、時光、光陰,"The times, things",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1006,숨,sum,呼吸、氣息,A breath,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1007,행사,haengsa,活動、儀式、典禮,"An event, a function",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1008,깨닫다,kkaedatda,領悟、覺悟、發覺,to realize sth,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1009,누나,nuna,姐姐（男稱）,Older sister,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1010,신,sin,神、神明,God,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1011,왕,wang,王、國王,King,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1012,점점,jeomjeom,漸漸、越來越、逐漸,"More and more, by degrees",B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1013,질문,jilmun,提問、問題、質詢,"A question, a query",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1014,특별,teukbyeol,特別、格外,"Be special, extraordinary",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1015,판단,pandan,判斷、裁決,"A judgment, a conclusion",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1016,해결하다,haegyeolhada,解決、處理（問題）,"To fix a problem, solve a question",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1017,거리,geori,距離、間距,Distance,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1018,계속하다,gyesokhada,繼續、持續,To continue,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1019,그치다,geuchida,停止、停歇、中止,Stop or cease or halt,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1020,근처,geuncheo,附近、周圍,Nearby or the vicinity,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1021,너무나,neomuna,太、非常、極其,Extremely,B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1022,높이다,nopida,提高、提升、抬高,"Raise, elevate",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1023,부정,bujeong,不正、不公、不義（不正行為）,"injustice,wrongfulness",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1024,사정,sajeong,情況、事情、原委,Circumstances,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1025,도대체,dodaeche,到底、究竟,"In the world, on earth",C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1026,막,mak,隨便、胡亂、猛烈地,"Carelessly, at random",B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1027,부모님,bumonim,父母、雙親,Parents,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1028,수출,suchul,出口、輸出,Exporting sth,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1029,계시다,gyesida,在、待著（있다之敬語）,(someone esteemed) to stay or be located,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1030,그,geu,那、那個（冠形詞）,That,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。0
1031,자르다,jareuda,剪、切、砍,"cut,chop",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1032,데리다,derida,帶領、帶著（人/寵物）,Be accompanied by,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1033,마리,mari,隻、頭（動物量詞）,Number of animals,A,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
1034,무척,mucheok,非常、格外、極其,Extremely,B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1035,비용,biyong,費用、花費,Expense,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1036,비행기,bihaenggi,飛機,An airplane,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1037,옳다,olta,正確、對、正直,"To be right, correct",B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1038,원래,wonrae,原來、本來,"originally,primarily",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1039,처리,cheori,處理、處置,"handling,treatment",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1040,최초,choecho,最初、最早,"In the very first, in the beginning",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1041,꼴,kkol,模樣、樣子、醜態,Shape or form or appearance,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1042,놀이,nori,遊戲、遊玩,"Play, game",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1043,뿌리,ppuri,根、根源,A root,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1044,수입,suip,進口、輸入,Importing sth,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1045,초,cho,初、開頭（如世紀初）,"Initial, in the beginning, first",B,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
1046,그리하여,geurihayeo,於是、從而、因此,And then or and so or and now,C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1047,낮,nat,白天、日間,Daytime,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1048,일찍,iljjik,提早、早早地,Early,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1049,직원,jigwon,職員、員工,Staff,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1050,찍다,jjikda,蓋（章）、戳、打,Stamp with a dojang,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1051,가볍다,gabyeopda,輕、輕微,Light,A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1052,내부,naebu,內部、裡面,The inside,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1053,다소,daso,多少、有些、或多或少,"1) Large and small, 2) more or less",C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1054,상대,sangdae,對手、對方、對應,"counterpart,companion,rival",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1055,오전,ojeon,上午、早上,Morning,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1056,피부,pibu,皮膚,Skin,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1057,가게,gage,店舖、商店,Store,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1058,가득,gadeuk,充滿、滿滿地,Full,B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1059,그저,geujeo,依然、只是、徒然,1) still or all the time 2) easily or with no effort,C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1060,도,do,度（溫度/角度）,Degrees (temperature),C,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
1061,벽,byeok,牆壁、壁,A wall,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1062,장군,janggun,將軍,A general,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1063,무역,muyeok,貿易,Trade,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1064,부담,budam,負擔、責任,"A burden,responsibility",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1065,약속,yaksok,約定、承諾,A promise,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1066,인사,insa,問候、行禮、打招呼,Greetings,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1067,줄,jul,繩子、線、列,"Line, row, chord",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1068,쳐다보다,chyeodaboda,抬頭看、注視、仰望,To look up at,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1069,충분히,chungbunhi,充分地、足夠地,"Enough, sufficiently",B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1070,신체,sinche,身體、身軀,The body,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1071,에너지,eneoji,能量、活力,Energy,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1072,위원,wiwon,委員,A member of a committee,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1073,정리하다,jeongrihada,整理、整頓、調整,To adjust,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1074,집안,jiban,家裡、家中、家族,Inside the house,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1075,배경,baegyeong,背景,Background,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1076,죽이다,jugida,殺死、消滅,To kill,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1077,단순하다,dansunhada,單純、簡單,Be simple-minded,B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1078,반대,bandae,反對、相反,Opposite and being opposed to (objecting to),B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1079,법칙,beopchik,法則、定律,"A law, a rule",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1080,빠지다,ppajida,沉迷、沉溺、陷入,"To indulge in, be addicted to",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1081,소금,sogeum,鹽、食鹽,Salt,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1082,오염,oyeom,污染,"Contamination, pollution",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1083,자전거,jajeon-geo,自行車、腳踏車,Bicycle,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1084,참여하다,chamyeohada,參與、參加,"To participate in, take part in",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1085,탓,tat,緣故、怪罪、過錯,"fault,blame",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1086,푸르다,pureuda,蔚藍、碧綠、青翠,"To be blue, to be green",B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1087,걔,gyae,那孩子、那傢伙,Child,B,不變化詞 / 獨立詞 / 未分類詞），用來標記如 그래도（即使那樣/仍然）、걔（那孩子）、그래（是的/那樣） 等
1088,그래,geurae,是啊、好、行,Yes or that’s right,A,不變化詞 / 獨立詞 / 未分類詞），用來標記如 그래도（即使那樣/仍然）、걔（那孩子）、그래（是的/那樣） 等
1089,목,mok,脖子、喉嚨,The neck,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1090,발표,balpyo,發表、公佈,Announcement,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1091,범죄,beomjoe,犯罪,A crime,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1092,위,wi,位次、名次、職位,"Position, grade, rank",C,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
1093,흔들다,heundeulda,搖晃、擺動,"Shake, sway",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1094,기초,gicho,基礎,The foundation,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1095,논리,nonri,邏輯、條理,Logic,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1096,뽑다,ppopda,拔、抽取、選拔,"Pull out, draw",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1097,피우다,piuda,點（火/煙）、盛開、散發,"To make, build, kindle",A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1098,감각,gamgak,感覺、感官,Sense or sensation or feeling,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1099,미리,miri,事先、預先,Beforehand,B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1100,부족하다,bujokhada,不足、缺乏,"Be short of, lack",B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1101,저희,jeohui,我們（謙稱）,We,B,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
1102,진행되다,jinhaengdoeda,進行、進展（被動）,"To have progressed, be advanced",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1103,교통,gyotong,交通,Traffic or transportation,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1104,기구,gigu,機構、結構、體制,Structure or framework,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1105,법,beop,道理、法則、方法（~는 법）,"A way, a method",B,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
1106,오랜,oraen,長久的、很久的,For a long time,B,冠形詞 (Determiner / 관형사)，如 한（一個）、어떤（某種）。
1107,젊은이,jeolmeuni,年輕人、青年,Young person,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1108,후보,hubo,候選人、候補,"candidature,candidacy",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1109,거리,geori,街道、街頭,A road or street,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1110,과제,gwaje,課題、作業、任務,A subject or a thesis or homework; an exercise/a problem,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1111,근거,geungeo,根據、依據,Basis or foundation,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1112,기록하다,girokhada,記錄、記載,To record and write down,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1113,다가오다,dagaoda,走近、靠近、逼近,Approach,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1114,불다,bulda,吹、颳,Blow,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1115,시각,sigak,視角、觀點,angle/point of view. 관점.,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1116,이끌다,ikkeulda,引導、帶領、率領,"To guide,lead",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1117,종합,jonghap,綜合、整合,Synthesis,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1118,한글,hangeul,韓文、韓語文字,Korean writing system,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1119,가을,gaeul,秋天、秋季,Autumn or fall,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1120,개발하다,gaebalhada,開發、研發,Develop or exploit or open up to development,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1121,내일,naeil,明天,Tomorrow,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1122,매일,maeil,每天、天天,Every day,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1123,손가락,songarak,手指,a finger,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1124,수단,sudan,手段、方法,"means,way",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1125,자,ja,來吧！好！（感嘆詞）,Well!!,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。0
1126,자유롭다,jayuropda,自由,To be free,B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1127,적극적,jeokgeukjeok,積極的、主動的,Positively,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1128,판매,panmae,銷售、販賣,"Sale, selling",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1129,형성,hyeongseong,形成,Formation,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1130,기울이다,giurida,傾斜、傾注、傾聽,Tip or slant or incline,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1131,길이,giri,長度、長短,Length or extent,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1132,장면,jangmyeon,場景、場面,"A scene, situation",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1133,점차,jeomcha,漸漸、逐步,"gradually,in steps",B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1134,톤,ton,噸（重量單位）,A ton,B,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
1135,관련되다,gwalryeondoeda,有關聯、涉及（被動）,Be connected or related to,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1136,급,geup,級、等級,Class or grade or rank,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1137,나머지,nameoji,其餘、剩下 / 結果（~한 나머지）,"The rest, the remainder ; as a result of the excess of, as a result",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1138,날씨,nalssi,天氣,Weather,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1139,더불다,deobulda,一起、共同（~와 더불어）,"Join in, do together",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1140,의사,uisa,醫生、醫師,"A doctor, a physician",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1141,개방,gaebang,開放,Open or throw open,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1142,건강하다,geonganghada,健康,To be healthy,A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1143,미래,mirae,未來,Future,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1144,앞서,apseo,先前、在...之前 / 提前,"Before, previously 2) in anticipation,beforehand",C,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1145,여러분,yeoreobun,各位、大家,"You (plural, to address a group at speech time)",A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
1146,왜냐하면,waenyahamyeon,因為、之所以,Because,A,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1147,인구,ingu,人口,Population,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1148,기대하다,gidaehada,期待、指望,To expect or look forward to,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1149,네,ne,你（口語代名詞，通常讀成 니）,You,A,冠形詞 (Determiner / 관형사)，如 한（一個）、어떤（某種）。
1150,도착하다,dochakhada,到達、抵達,To arrive,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1151,병,byeong,病、疾病,Sickness,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1152,소프트웨어,sopeuteuweeo,軟體,Software,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1153,흘리다,heulrida,流、灑、掉下（眼淚/血）,"spill,shed (tears,blood)",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1154,반응,baneung,反應,Reaction,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1155,주인공,juingong,主角、主人翁,"The head of a family, the hero/heroine",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1156,당연하다,dangyeonhada,理所當然、當然,"Be natural, be no wonder",B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1157,비판,bipan,批判、評論,"criticism,a comment",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1158,빌리다,bilrida,借、借用,To lend,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1159,세대,sedae,世代、代,Generation,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1160,축구,chukgu,足球,Football,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1161,형님,hyeongnim,哥哥、大哥（敬稱）,"The respectful, proper way a man refers to an older friend",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1162,놓이다,noida,被放置 / 安心、平靜（마음이 놓이다）,Be put on sth else (2) to become peaceful,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1163,당장,dangjang,當場、立刻、馬上,"On the spot, immediately",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1164,무렵,muryeop,...的時候、時分,The time when,B,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
1165,밝다,bakda,明亮 / 前途光明,To be promising,A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1166,사물,samul,事物、物體,"objects,things",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1167,일반적,ilbanjeok,一般的、普遍的,"Universal, general",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1168,장소,jangso,場所、地點,Place,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1169,곱다,gopda,美麗、好看、細膩,Beautiful,B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1170,바닥,badak,地面、地板、底層,Floor,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1171,새끼,saekki,幼崽、小動物（亦作粗俗稱呼）,Baby animal,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1172,생각되다,saenggakdoeda,覺得、被認為,To come to think sth,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1173,서비스,seobiseu,服務、招待,Service,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1174,선택하다,seontaekhada,選擇、挑選,To choose,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1175,심다,simda,種植、栽種,"plant,sow (a tree)",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1176,적다,jeokda,寫下、記錄,Write down,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1177,코,ko,鼻子,The nose,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1178,간단하다,gandanhada,簡單、簡要,To be simple,B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1179,고등학교,godeunghakgyo,高中、高級中學,A senior high school,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1180,공개,gonggae,公開,"opening to the public, making public",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1181,교실,gyosil,教室,Classroom,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1182,스스로,seuseuro,自己、親自、自發,"By oneself, do it alone",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1183,견디다,gyeondida,忍受、熬過、經受,Endure or bear,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1184,기사,gisa,報導、新聞文章,An article or an account,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1185,막히다,makhida,被堵住、堵塞,Be stopped up,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1186,매체,maeche,媒體、媒介,"A medium,medias",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1187,별,byeol,星星,A star,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1188,복잡하다,bokjaphada,複雜、繁雜,Be complicated,A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1189,뿌리다,ppurida,撒、灑、散播,"sprinkle,scatter",B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1190,영역,yeongyeok,領域、領地,Territory,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1191,체험,cheheom,體驗,An experience,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1192,구속,gusok,拘留、逮捕、拘束,To arrest or put in detention,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1193,어쩌면,eojjeomyeon,或許、說不定 / 怎麼會,"(1) it is possible that 아마도 2) how on earth, how the hell",B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1194,극복하다,geukbokhada,克服,To overcome or surmount,C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1195,불법,bulbeop,非法、違法,Illegal,C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1196,비밀,bimil,秘密,A secret,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1197,색,saek,顏色、色彩,Color,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1198,쓰이다,sseuida,被使用、被利用（被動）,"To be used, to be utilized/employed",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1199,일정하다,iljeonghada,固定、一定、均勻,"To be regular, established, uniform ; changeless, constant, certain, definite ; invariable (mathematics)",C,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1200,다지다,dajida,堅定、下定（決心）/ 夯實,"Make sure, to harden oneself, firm up one's will",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1201,아까,akka,剛才、方才,A little while ago,B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1202,알맞다,almatda,合適、適宜、相稱,"To fit, be fitting, suitable",B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1203,이념,inyeom,理念、思想、意識形態,"An idea, a doctrine, ideology",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1204,희다,huida,白、潔白,"White, fair",B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1205,가리키다,garikida,指、指向、指示,Point to or indicate,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1206,모시다,mosida,侍奉、陪伴、款待,Attend on,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1207,발달,baldal,發達、發展,"Development, growth",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1208,수많다,sumanta,眾多、無數,Many and many,B,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
1209,치르다,chireuda,支付、付出 / 經歷,"Pay off, pay one’s bill",C,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1210,평화,pyeonghwa,和平,Peace,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1211,공사,gongsa,工程、施工,Construction work or engineering work,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1212,박사,baksa,博士,Doctor,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1213,성,seong,性別、性,"a sex (male or female), a sexual gender",C,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1214,전문가,jeonmunga,專家,A specialist,B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1215,단지,danji,僅僅、只是、單純,"Simple, merely",B,副詞 (Adverb / 부사)，如 더（更）、잘（好）。
1216,말씀하다,malsseumhada,說、講（말하다之敬語）,Speak,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
1217,무용,muyong,舞蹈、跳舞,"dancing,a dance",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
1218,불리다,bulrida,被稱為、被叫作（被動）,To be called,B,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
